;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INSTNR;GRADE;TYPE;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;
101075;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101089;3. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
101152;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101621;3. klassetrin;<uoplyst>;;;;;;;6;;9;;;;;
147019;3. klassetrin;<uoplyst>;;;;6;5;;15;;8;;;;;
157003;3. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
157018;3. klassetrin;<uoplyst>;5;;7;9;14;5;8;12;11;;;;;
157041;3. klassetrin;<uoplyst>;17;;9;8;15;;16;12;10;;;;;
159012;3. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
167001;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
175007;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
183003;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
201001;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
227008;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
259011;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
265019;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
265036;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280093;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280197;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280241;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280271;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280284;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280319;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280325;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280334;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280341;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280397;3. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
280407;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280462;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280595;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280597;3. klassetrin;<uoplyst>;;;;;;;;;6;;;;;
280617;3. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
280620;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280669;3. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
280705;3. klassetrin;<uoplyst>;;;;;;;;;;;14;;;
280760;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280980;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281437;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281607;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281618;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329005;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329013;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
331003;3. klassetrin;<uoplyst>;;;;;;;;;15;;;;;
400009;3. klassetrin;<uoplyst>;;;;;;;;;;12;;;;
400014;3. klassetrin;<uoplyst>;;;;;;;10;;;;;;;
471008;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
481001;3. klassetrin;<uoplyst>;;;;;;10;12;21;;;;;;
503006;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
617002;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
661002;3. klassetrin;<uoplyst>;;;;;;;;;;;9;;;
661012;3. klassetrin;<uoplyst>;;;;;;;;;;;;15;5;
710003;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
717004;3. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
740005;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751014;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751023;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791006;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
809001;3. klassetrin;<uoplyst>;;;;;;10;;;9;;7;;;
827005;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
851055;3. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101015;4. klassetrin;<uoplyst>;;;;;;;6;;5;;;;;
101047;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101089;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101151;4. klassetrin;<uoplyst>;;;;;;;6;;;;;;;
101152;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101621;4. klassetrin;<uoplyst>;;;;;;;6;;;;;;;
147019;4. klassetrin;<uoplyst>;7;;;;6;;8;6;5;;;;;
157008;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
157018;4. klassetrin;<uoplyst>;6;;7;5;8;13;11;8;13;;;;;
157041;4. klassetrin;<uoplyst>;17;;10;6;10;6;23;12;12;;;;;
169013;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
173006;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
187003;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
201001;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
227008;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
257001;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
265019;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280205;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280241;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280284;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280319;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280325;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280331;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280346;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
